net,length_um
net183,927.78µm
clknet_0_HCLK,918.48µm
net192,906.7µm
net187,897.22µm
net178,890.58µm
net176,805.98µm
net185,793.73µm
net181,793.19µm
net190,791.53µm
clknet_3_0__leaf_HCLK,664.58µm
net5,527.62µm
clknet_3_6__leaf_HCLK,500.36µm
HCLK,447.47µm
net39,382.26µm
net145,338.78µm
clknet_3_7__leaf_HCLK,307.42µm
clknet_2_0_0_HCLK,227.06µm
clknet_2_3_0_HCLK,222.6µm
net182,209.18µm
net109,197.9µm
clknet_2_1_0_HCLK,191.04µm
clknet_2_2_0_HCLK,182.5µm
clknet_3_1__leaf_HCLK,181.94µm
net191,181.39µm
net189,175.13µm
net180,165.86µm
net38,143.4µm
net128,123.1µm
clknet_3_5__leaf_HCLK,122.92µm
clknet_3_4__leaf_HCLK,122.32µm
clknet_3_2__leaf_HCLK,115.9µm
net7,111.26µm
net188,110.48µm
net3,105.4µm
net162,104.9µm
net172,102.72µm
net179,99.935µm
net175,95.44µm
net11,90.02µm
net35,87.96µm
net1,85.42µm
net108,81.06µm
net112,77.94µm
net184,77.32µm
net177,77.24µm
net186,76.06µm
PRDATA[21],69.41µm
clknet_3_3__leaf_HCLK,64.94µm
net70,61.36µm
net127,60.02µm
net26,59.52µm
net33,58.94µm
net21,55.7µm
net104,55.56µm
net174,55.18µm
net142,53.14µm
net119,53µm
net64,51.92µm
net161,43.88µm
net9,43.66µm
PRDATA[18],41.91µm
net30,41.08µm
_070_,39.7µm
net49,39.14µm
net74,38.06µm
net53,36.16µm
PRDATA[10],35.46µm
net85,35.02µm
u_bridge_fsm.state\[1\],34.95µm
net63,33.88µm
net58,33.64µm
PRDATA[24],33.6µm
net13,33.06µm
net28,32.62µm
net45,30.7µm
net159,30.24µm
net37,29.28µm
net158,28.58µm
net134,27.74µm
net97,27.5µm
net60,27.34µm
net34,27.1µm
net121,26.56µm
net62,25.82µm
net140,24.28µm
u_bridge_fsm.state\[0\],23.64µm
net153,23.64µm
net164,23.54µm
PRDATA[28],23.35µm
net110,22.96µm
net160,22.7µm
PRDATA[15],22.12µm
net79,21.54µm
PWDATA[20],21.28µm
_067_,20.7µm
net107,19.64µm
PRDATA[25],19.45µm
PRDATA[6],19.36µm
HWDATA[20],19.28µm
PRDATA[16],19.22µm
net126,19.2µm
PRDATA[2],18.9µm
PRDATA[9],18.9µm
PRDATA[14],18.68µm
HWDATA[7],18.6µm
PWDATA[11],18.55µm
PRDATA[31],18.44µm
net98,18.36µm
PWDATA[9],18.35µm
_068_,18.04µm
PRDATA[1],17.76µm
PRDATA[23],17.76µm
net42,17.72µm
net135,17.56µm
net130,17.36µm
PRDATA[13],17.17µm
HWDATA[18],16.89µm
PRDATA[27],16.89µm
PRDATA[26],16.6µm
net52,16.56µm
net105,16.56µm
HADDR[10],16.46µm
PWDATA[22],16.09µm
net137,16.07µm
PADDR[29],15.87µm
PRDATA[20],15.79µm
_071_,15.76µm
PRDATA[29],15.68µm
net170,15.68µm
net113,15.52µm
PSEL[2],15.37µm
PENABLE,15.29µm
net173,15.22µm
PWDATA[18],15.19µm
net129,15.18µm
HADDR[9],15.16µm
PWDATA[26],15.16µm
PWDATA[23],15.14µm
net131,14.8µm
PRDATA[19],14.76µm
PADDR[30],14.67µm
PWDATA[5],14.67µm
net152,14.52µm
PWDATA[24],14.51µm
PADDR[19],14.39µm
PWDATA[10],14.39µm
HWDATA[19],14.16µm
PRDATA[8],14.08µm
net36,14.08µm
HWDATA[1],13.99µm
PWDATA[2],13.99µm
PADDR[14],13.94µm
net115,13.68µm
PRDATA[0],13.62µm
PWDATA[30],13.59µm
HRDATA[22],13.39µm
net133,13.18µm
PSEL[1],13.11µm
HADDR[24],13.09µm
