Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_285_1709,VPWR,li1,792.3500,786.0800,1.800000
FILLER_285_1705,VPWR,li1,790.5100,786.0800,1.800000
FILLER_285_1693,VPWR,li1,787.0600,786.0800,1.800000
FILLER_285_1681,VPWR,li1,781.5400,786.0800,1.800000
FILLER_285_1677,VPWR,li1,777.6300,786.0800,1.800000
FILLER_285_1665,VPWR,li1,774.1800,786.0800,1.800000
FILLER_285_1653,VPWR,li1,768.6600,786.0800,1.800000
FILLER_285_1649,VPWR,li1,764.7500,786.0800,1.799999
FILLER_285_1637,VPWR,li1,761.3000,786.0800,1.799999
FILLER_285_1625,VPWR,li1,755.7800,786.0800,1.799999
FILLER_285_1621,VPWR,li1,751.8700,786.0800,1.799999
FILLER_285_1609,VPWR,li1,748.4200,786.0800,1.799999
FILLER_285_1597,VPWR,li1,742.9000,786.0800,1.799999
FILLER_285_1593,VPWR,li1,738.9900,786.0800,1.799999
FILLER_285_1581,VPWR,li1,735.5400,786.0800,1.799999
FILLER_285_1569,VPWR,li1,730.0200,786.0800,1.799999
FILLER_285_1565,VPWR,li1,726.1100,786.0800,1.799999
FILLER_285_1553,VPWR,li1,722.6600,786.0800,1.799999
FILLER_285_1541,VPWR,li1,717.1400,786.0800,1.799999
FILLER_285_1537,VPWR,li1,713.2300,786.0800,1.799999
FILLER_285_1525,VPWR,li1,709.7800,786.0800,1.799999
FILLER_285_1513,VPWR,li1,704.2600,786.0800,1.799999
FILLER_285_1509,VPWR,li1,700.3500,786.0800,1.799998
FILLER_285_1497,VPWR,li1,696.9000,786.0800,1.799998
FILLER_285_1485,VPWR,li1,691.3800,786.0800,1.799998
FILLER_285_1481,VPWR,li1,687.4700,786.0800,1.799998
FILLER_285_1469,VPWR,li1,684.0200,786.0800,1.799998
FILLER_285_1457,VPWR,li1,678.5000,786.0800,1.799998
FILLER_285_1453,VPWR,li1,674.5900,786.0800,1.799998
FILLER_285_1441,VPWR,li1,671.1400,786.0800,1.799998
FILLER_285_1429,VPWR,li1,665.6200,786.0800,1.799998
FILLER_285_1425,VPWR,li1,661.7100,786.0800,1.799998
FILLER_285_1413,VPWR,li1,658.2600,786.0800,1.799998
FILLER_285_1401,VPWR,li1,652.7400,786.0800,1.799998
FILLER_285_1397,VPWR,li1,648.8300,786.0800,1.799998
FILLER_285_1385,VPWR,li1,645.3800,786.0800,1.799998
FILLER_285_1373,VPWR,li1,639.8600,786.0800,1.799998
FILLER_285_1369,VPWR,li1,635.9500,786.0800,1.799997
FILLER_285_1357,VPWR,li1,632.5000,786.0800,1.799997
FILLER_285_1345,VPWR,li1,626.9800,786.0800,1.799995
FILLER_285_1341,VPWR,li1,623.0700,786.0800,1.799994
FILLER_285_1329,VPWR,li1,619.6200,786.0800,1.799993
FILLER_285_1317,VPWR,li1,614.1000,786.0800,1.799992
FILLER_285_1313,VPWR,li1,610.1900,786.0800,1.799990
FILLER_285_1301,VPWR,li1,606.7400,786.0800,1.799990
FILLER_285_1289,VPWR,li1,601.2200,786.0800,1.799988
FILLER_285_1285,VPWR,li1,597.3100,786.0800,1.799987
FILLER_285_1273,VPWR,li1,593.8600,786.0800,1.799986
FILLER_285_1261,VPWR,li1,588.3400,786.0800,1.799985
FILLER_285_1257,VPWR,li1,584.4300,786.0800,1.799984
FILLER_285_1245,VPWR,li1,580.9800,786.0800,1.799983
FILLER_285_1233,VPWR,li1,575.4600,786.0800,1.799981
FILLER_285_1229,VPWR,li1,571.5500,786.0800,1.799980
FILLER_285_1217,VPWR,li1,568.1000,786.0800,1.799979
FILLER_285_1205,VPWR,li1,562.5800,786.0800,1.799978
FILLER_285_1201,VPWR,li1,558.6700,786.0800,1.799977
FILLER_285_1189,VPWR,li1,555.2200,786.0800,1.799976
FILLER_285_1177,VPWR,li1,549.7000,786.0800,1.799974
FILLER_285_1173,VPWR,li1,545.7900,786.0800,1.799973
FILLER_285_1161,VPWR,li1,542.3400,786.0800,1.799972
FILLER_285_1149,VPWR,li1,536.8200,786.0800,1.799971
FILLER_285_1145,VPWR,li1,532.9100,786.0800,1.799970
FILLER_285_1133,VPWR,li1,529.4600,786.0800,1.799969
FILLER_285_1121,VPWR,li1,523.9400,786.0800,1.799967
FILLER_285_1117,VPWR,li1,520.0300,786.0800,1.799966
FILLER_285_1105,VPWR,li1,516.5800,786.0800,1.799965
FILLER_285_1093,VPWR,li1,511.0600,786.0800,1.799964
FILLER_285_1085,VPWR,li1,505.3100,786.0800,1.799962
FILLER_285_1077,VPWR,li1,502.7800,786.0800,1.799962
FILLER_285_1065,VPWR,li1,498.1800,786.0800,1.799961
FILLER_285_1063,VPWR,li1,494.7300,786.0800,1.799960
FILLER_285_1055,VPWR,li1,492.6600,786.0800,1.799959
FILLER_285_1043,VPWR,li1,488.0600,786.0800,1.799958
FILLER_285_1037,VPWR,li1,483.0000,786.0800,1.799957
FILLER_285_1031,VPWR,li1,480.0100,786.0800,1.799947
FILLER_285_1027,VPWR,li1,478.8600,786.0800,1.799935
FILLER_285_1015,VPWR,li1,475.1800,786.0800,1.799920
FILLER_285_1009,VPWR,li1,470.1200,786.0800,1.799904
FILLER_285_1007,VPWR,li1,468.9700,786.0800,1.799894
FILLER_285_1003,VPWR,li1,467.8200,786.0800,1.799894
FILLER_285_993,VPWR,li1,463.2200,786.0800,1.799868
FILLER_285_986,VPWR,li1,460.0000,786.0800,1.799855
FILLER_285_981,VPWR,li1,457.2400,786.0800,1.799848
FILLER_285_974,VPWR,li1,454.0200,786.0800,1.799838
FILLER_285_966,VPWR,li1,451.7200,786.0800,1.799824
FILLER_285_961,VPWR,li1,447.8100,786.0800,1.799816
FILLER_285_948,VPWR,li1,441.8300,786.0800,1.799796
FILLER_285_923,VPWR,li1,430.3300,786.0800,1.799771
FILLER_285_906,VPWR,li1,422.5100,786.0800,1.799764
FILLER_285_888,VPWR,li1,414.2300,786.0800,1.799762
FILLER_285_882,VPWR,li1,411.9300,786.0800,1.799763
